Fuel type,license type,driving license,Gear type,Glass,Motor power,Payment method,Previous owners,Number Of Passengers,magnesium_rims,sunroof,Name,Model,Price,scaled_motor_power,normalized_price,brand,type,Alfa Romeo,Audi,BMW,Bus,Cadillac,Chevrolet,Citroen,DAF,Dacia,Daewoo,Daihatsu,Dodge,Fiat,Ford,GMC,Honda,Hyundai,Isuzu,Iveco,Jaguar,Jeep,Kia,Land Rover,Mazda,Mercedes,Mitsubishi,Motorcycle,Nissan,Opel,Peugeot,Renault,Rover,Seat,Skoda,SsangYong,Subaru,Suzuki,Toyota,Truck,Volkswagen,Volvo
1,5,1,3,1,1800.0,1,5,5,0,0,مرسيدس E220,2005,65300.0,0.5416666666666666,0.4226046652489647,Mercedes,E220,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,5,1,3,1,2000.0,1,1,5,20,0,بيجو 306,1998,13000.0,0.625,0.07827426607588436,Peugeot,306,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1,5,1,3,1,2000.0,1,1,5,20,20,كيا سبورتاج,2014,90000.0,0.625,0.585223419734148,Kia,سبورتاج,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,4,1,1,0,1600.0,1,1,5,0,0,كيا اوبتيما,2015,85000.0,0.45833333333333337,0.5523046435225725,Kia,اوبتيما,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,5,1,1,1,1200.0,1,1,5,20,0,اوبل استرا,1997,25000.0,0.29166666666666663,0.15727932898366573,Opel,استرا,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2,5,1,2,1,2000.0,1,1,5,20,0,سكودا فابيا,2009,36500.0,0.625,0.2329925142702895,Skoda,فابيا,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2,5,1,1,1,1600.0,1,2,5,20,20,فولكسفاجن بولو,2016,63000.0,0.45833333333333337,0.40746202819163996,Volkswagen,بولو,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2,5,1,3,1,1600.0,0,1,5,20,0,بيجو بارتنر,2008,47000.0,0.45833333333333337,0.30212194431459816,Peugeot,بارتنر,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2,5,1,3,1,2000.0,1,2,5,20,20,هونداي توسان,2006,48000.0,0.625,0.30870569955691324,Hyundai,توسان,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,5,1,3,1,2000.0,1,1,5,20,20,هونداي توسان,2014,90000.0,0.625,0.585223419734148,Hyundai,توسان,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
