لون السيارة,نوع الوقود,أصل السيارة,رخصة السيارة,نوع الجير,الزجاج,قوة الماتور,عداد السيارة,وسيلة الدفع,معروضة,أصحاب سابقون,عدد الركاب,الدفع,air_conditioner,central_closing,alarm_devise,CD_recorder,leather_upholstery,air_cushion,magnesium_rims,sunroof,التكميلي (جسم المركبة),طرف ثالث,المجموع,name_car,model_car,price_car
ذهبي,ديزل,عمومي,فلسطينية,اوتوماتيك,الكتروني,2200,,نقدا فقط,للبيع أو التبديل,,4+1,,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,467.0,500.0,967.0,,,
أبيض عاجي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1000,35000,نقدا فقط,للبيع فقط,0,,دفع أمامي,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1340.0,1000.0,2340.0,هونداي توسان,موديل سنة 2012,65000.0
أزرق,بنزين,خصوصي,فلسطينية,عادي,يدوي,900,,نقدا فقط,للبيع فقط,,4+1,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1035.0,1173.0,2208.0,اوبل استرا,موديل سنة 2006,43000.0
سكني,ديزل,خصوصي,فلسطينية,عادي,يدوي,1600,,إمكانية التقسيط,للبيع فقط,,4+1,,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1340.0,2013.0,3353.0,اوبل استرا,موديل سنة 2013,35000.0
أبيض عاجي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1200,44000,نقدا فقط,للبيع أو التبديل,صفر,4+1,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1035.0,1000.0,2035.0,فولكسفاجن بولو,موديل سنة 2015,62000.0
أحمر,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,34000,نقدا فقط,للبيع فقط,اولى,4+1,دفع أمامي,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1035.0,1199.0,2234.0,سكودا فابيا,موديل سنة 2015,60000.0
فيراني,بنزين,خصوصي,فلسطينية,عادي,يدوي,1400,200000,إمكانية التقسيط,للبيع فقط,يد اولى,4+1,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1690.0,8033.0,9723.0,سيت ليون,موديل سنة 2015,77000.0
فضي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1200,68,نقدا فقط,للبيع فقط,٢,4+1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,517.0,500.0,1017.0,سيت ابيزا,موديل سنة 2013,53000.0
أبيض,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,3000,13000,إمكانية التقسيط,للبيع أو التبديل,0,4+1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1340.0,1000.0,2340.0,فولكسفاجن باسات,موديل سنة 2006,55000.0
سكني,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1250,,نقدا فقط,للبيع فقط,,4+1,دفع أمامي,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1340.0,1488.0,2828.0,اودي Q7,موديل سنة 2008,175000.0
أبيض,ديزل,عمومي,فلسطينية,اوتوماتيك,الكتروني,2000,000000000,إمكانية التقسيط,للبيع فقط,٤,4+1,,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1340.0,1000.0,2340.0,بيجو 307,موديل سنة 2008,30000.0
أسود,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,17000,نقدا فقط,للبيع فقط,يد ثانيه,4+1,دفع أمامي,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,467.0,500.0,967.0,هونداي توسان,موديل سنة 2014,78000.0
رمادي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,200000,نقدا فقط,للبيع أو التبديل,يد ٣,4+1,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1340.0,1716.0,3055.0,مرسيدس 300,موديل سنة 1991,35000.0
أبيض,بنزين,خصوصي,فلسطينية,عادي,يدوي,900,,نقدا فقط,للبيع فقط,,,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,670.0,500.0,1170.0,سكودا اوكتافيا,موديل سنة 2016,85000.0
أسود ميتالك,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,100,نقدا فقط,للبيع أو التبديل,0,4+1,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1035.0,1000.0,2035.0,اوبل كورسا,موديل سنة 2008,23000.0
أبيض,بنزين,عمومي,فلسطينية,عادي,الكتروني,1600,,إمكانية التقسيط,للبيع أو التبديل,٨,4+1,,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1340.0,2888.0,4228.0,بي ام دبليو 316,موديل سنة 1989,30000.0
أبيض عاجي,ديزل,عمومي,فلسطينية,عادي,الكتروني,1400,,نقدا فقط,للبيع فقط,,4+1,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1690.0,4515.0,6205.0,كيا ريو,موديل سنة 2007,32000.0
أسود ميتالك,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,45000,نقدا فقط,للبيع أو التبديل,0,4+1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1035.0,1357.0,2392.0,فولكسفاجن جولف,موديل سنة 2008,40000.0
ذهبي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,3500,000000000,إمكانية التقسيط,للبيع أو التبديل,2,5+1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1035.0,1000.0,2035.0,,,
أبيض عاجي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,18000,نقدا فقط,للبيع أو التبديل,يد أولى,4+1,دفع أمامي,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1035.0,1488.0,2523.0,جييب Wrangler,موديل سنة 2014,185000.0
أسود,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1200,105,نقدا فقط,للبيع فقط,1,4+1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,845.0,569.0,1414.0,سكودا اوكتافيا,موديل سنة 2016,82000.0
أبيض,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1200,41000,نقدا فقط,للبيع فقط,0,4+1,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1035.0,1085.0,2120.0,سيت ابيزا,موديل سنة 2011,47000.0
فضي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2200,262000,إمكانية التقسيط,للبيع فقط,-,4+1,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1340.0,1663.0,3003.0,هونداي فيرنا,موديل سنة 2002,27500.0
بني,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1200,,إمكانية التقسيط,للبيع أو التبديل,0,,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1690.0,2188.0,3878.0,فولكسفاجن كادي,موديل سنة 2016,115000.0
بني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,000000,إمكانية التقسيط,للبيع فقط,2,4+1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1690.0,2801.0,4490.0,اوبل اسكونا,موديل سنة 1983,13000.0
أسود ميتالك,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,3000,,نقدا فقط,للبيع فقط,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1340.0,1000.0,2340.0,كيا سول,موديل سنة 2011,62000.0
أبيض,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2200,80000,إمكانية التقسيط,للبيع فقط,يد اولى,6+1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,517.0,500.0,1017.0,مرسيدس 230,موديل سنة 2006,62500.0
سكني,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,,نقدا فقط,للبيع فقط,3,4+1,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1340.0,1313.0,2653.0,فيات دوبلو,موديل سنة 2011,75000.0
أبيض,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,150000,نقدا فقط,للبيع فقط,3,4+1,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1690.0,1313.0,3003.0,سكودا اوكتافيا,موديل سنة 2014,105000.0
أسود ميتالك,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,118000,نقدا فقط,للبيع أو التبديل,يد تانيه,4+1,دفع أمامي,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1035.0,1000.0,2035.0,هونداي كليك,موديل سنة 2008,44000.0
سكني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2700,,نقدا فقط,للبيع فقط,,4+1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1690.0,1000.0,2690.0,فولكسفاجن باسات,موديل سنة 2002,45000.0
رصاصي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,١٠٠٠٠٠,نقدا فقط,للبيع فقط,٣,4+1,,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1340.0,1000.0,2340.0,سكودا رابيد,موديل سنة 2015,56000.0
أبيض,ديزل,تجاري,فلسطينية,عادي,الكتروني,2500,,نقدا فقط,للبيع فقط,,,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1340.0,1488.0,2828.0,روفر s400,موديل سنة 2000,27000.0
أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,135000,إمكانية التقسيط,للبيع فقط,يد ثالثه,4+1,دفع أمامي,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1690.0,1050.0,2740.0,اودي A6,موديل سنة 2002,1700.0
فيراني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,,نقدا فقط,للبيع فقط,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1340.0,1401.0,2740.0,فولكسفاجن تيجوان,موديل سنة 2011,88000.0
أسود ميتالك,ديزل,حكومي,فلسطينية,عادي,الكتروني,2500,160000,نقدا فقط,للبيع فقط,1,7+1,,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1340.0,1000.0,2340.0,هونداي اكسنت,موديل سنة 2012,58000.0
فيراني,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,,نقدا فقط,للبيع أو التبديل,0,4+1,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1690.0,1488.0,3178.0,ميتسوبيشي لانسر,موديل سنة 1990,25000.0
أزرق سماوي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,,نقدا فقط,للبيع أو التبديل,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1340.0,1000.0,2340.0,اوبل استرا,موديل سنة 1999,30000.0
أبيض,ديزل,خصوصي,فلسطينية,عادي,الكتروني,3000,0,نقدا فقط,للبيع فقط,,6+1,دفع خلفي,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1340.0,1663.0,3003.0,كيا برايد,موديل سنة 2012,43000.0
فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,140000,نقدا فقط,للبيع فقط,3,4+1,,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,670.0,500.0,1170.0,اوبل اسكونا,موديل سنة 1985,13000.0
رمادي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,,نقدا فقط,للبيع فقط,1,4+1,دفع أمامي,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,670.0,500.0,1170.0,اوبل كورسا,موديل سنة 2013,44000.0
أبيض عاجي,ديزل,عمومي,فلسطينية,عادي,الكتروني,1900,٥٥٠٠٠٠,إمكانية التقسيط,للبيع فقط,٥,4+1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1340.0,1453.0,2793.0,فيات باندا,موديل سنة 2015,37000.0
أبيض عاجي,بنزين,عمومي,فلسطينية,عادي,يدوي,1600,75000,نقدا فقط,للبيع فقط,7,4+1,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1035.0,1000.0,2035.0,فولكسفاجن كبينه,موديل سنة 1983,34000.0
فضي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,١٨٠٠٠٠,نقدا فقط,للبيع فقط,٢,4+1,,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1035.0,1226.0,2260.0,فولكسفاجن بولو,موديل سنة 2010,48000.0
أبيض,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1250,185000,نقدا فقط,للبيع فقط,,4+1,دفع أمامي,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1340.0,2486.0,3826.0,اوبل كورسا,موديل سنة 2016,54000.0
أبيض,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1500,72000,إمكانية التقسيط,للبيع فقط,اولى,4+1,,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,467.0,500.0,967.0,فولكسفاجن باسات,موديل سنة 2004,33000.0
أبيض عاجي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,45000,إمكانية التقسيط,للبيع أو التبديل,مستورد,6+1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1340.0,1611.0,2950.0,فيات اونو,موديل سنة 1986,11000.0
أبيض,ديزل,تجاري,فلسطينية,عادي,يدوي,180,000000,إمكانية التقسيط,للبيع أو التبديل,3,2+1,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1340.0,1000.0,2340.0,بيجو بارتنر,موديل سنة 2018,77000.0
فيراني,هايبرد,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,٥٨٠٠٠,نقدا فقط,للبيع فقط,يد اولى,4+1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,670.0,500.0,1170.0,,,
خمري,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,,نقدا فقط,للبيع فقط,يد ثالثة ( فتيات),4+1,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,935.0,1103.0,2038.0,,,
أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,,نقدا فقط,للبيع فقط,يد ثانية,4+1,,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1690.0,2748.0,4438.0,مرسيدس C200,موديل سنة 2009,77000.0
خمري,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1000,44,نقدا فقط,للبيع فقط,00,4+1,دفع أمامي,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,670.0,500.0,1170.0,هونداي سانتافيه,موديل سنة 2015,132000.0
أسود ميتالك,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2500,159000,نقدا فقط,للبيع أو التبديل,4,3+1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,935.0,1000.0,1935.0,سكودا اوكتافيا,موديل سنة 2007,45000.0
فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1800,,نقدا فقط,للبيع فقط,,4+1,,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,517.0,500.0,1017.0,كيا سول,موديل سنة 2012,65000.0
سكني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1000,40000,نقدا فقط,للبيع فقط,استيراد,4+1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1035.0,1000.0,2035.0,,,
بني,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,,إمكانية التقسيط,للبيع أو التبديل,,,,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1690.0,1313.0,3003.0,سكودا سوبيرب,موديل سنة 2017,138000.0
أسود,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1250,00,إمكانية التقسيط,للبيع أو التبديل,00,4+1,دفع أمامي,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1340.0,1000.0,2340.0,سوبارو عريض,موديل سنة 1988,11000.0
أبيض عاجي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,2500,460000,إمكانية التقسيط,للبيع أو التبديل,يد اولى,7+1,,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1340.0,1261.0,2600.0,فولكسفاجن باسات,موديل سنة 2009,48000.0
أسود ميتالك,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,٩٠ الف فقط,نقدا فقط,للبيع فقط,٢,4+1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1340.0,1000.0,2340.0,سيت ليون,موديل سنة 2019,112000.0
أخضر,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1605,١٦٢٠٠,نقدا فقط,للبيع فقط,اولى,6+1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1035.0,1016.0,2050.0,,,
رمادي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,٢٠٠٠٠٠,إمكانية التقسيط,للبيع فقط,٤,4+1,,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1340.0,1366.0,2705.0,اوبل استرا,موديل سنة 1997,22000.0
بني,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1200,103,نقدا فقط,للبيع أو التبديل,2,4+1,دفع أمامي,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,935.0,1208.0,2143.0,كيا برايد,موديل سنة 2015,71000.0
أبيض عاجي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1900,,إمكانية التقسيط,للبيع أو التبديل,,,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,845.0,500.0,1345.0,فولكسفاجن باسات,موديل سنة 2019,130000.0
عدة الوان,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1000,30000,إمكانية التقسيط,للبيع فقط,صفر,4+1,دفع أمامي,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1340.0,1243.0,2583.0,كيا سول,موديل سنة 2011,37000.0
أحمر,بنزين,عمومي,فلسطينية,عادي,الكتروني,2200,,إمكانية التقسيط,للبيع فقط,,4+1,,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,517.0,500.0,1017.0,كيا فورتي,موديل سنة 2010,39900.0
فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,10000,نقدا فقط,للبيع فقط,اولى,4+1,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1035.0,1000.0,2035.0,فولكسفاجن ترانسبورتر,موديل سنة 2016,115000.0
أزرق سماوي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1350,,نقدا فقط,للبيع فقط,,4+1,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,845.0,500.0,1345.0,سكودا اوكتافيا,موديل سنة 2017,108000.0
فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,104000,نقدا فقط,للبيع فقط,3,4+1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,517.0,500.0,1017.0,,,
سكني,ديزل,عمومي,فلسطينية,عادي,الكتروني,2500,308654,إمكانية التقسيط,للبيع أو التبديل,2,7+1,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1340.0,1138.0,2478.0,فولكسفاجن بولو,موديل سنة 1999,23000.0
أبيض عاجي,بنزين,خصوصي,فلسطينية,عادي,يدوي,1400,00000,نقدا فقط,للبيع فقط,8,4+1,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1340.0,2521.0,3861.0,مرسيدس 190,موديل سنة 1985,40000.0
أبيض,ديزل,خصوصي,فلسطينية,عادي,الكتروني,2000,150000 كيلو متر,إمكانية التقسيط,للبيع أو التبديل,١,2+1,,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1340.0,2713.0,4053.0,سكودا اوكتافيا,موديل سنة 2016,129900.0
أبيض عاجي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,0,نقدا فقط,للبيع فقط,0,4+1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1035.0,1348.0,2383.0,سكودا اوكتافيا,موديل سنة 2016,110000.0
كحلي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1995,38000,إمكانية التقسيط,للبيع أو التبديل,2,4+1,دفع رباعي 4x4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1035.0,1000.0,2035.0,فولكسفاجن كادي,موديل سنة 2016,100000.0
أبيض,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1200,٧٢٠٠٠,نقدا فقط,للبيع فقط,يد اولى,4+1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1340.0,1488.0,2828.0,سيت ليون,موديل سنة 2018,78000.0
رمادي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,22000,نقدا فقط,للبيع فقط,أولى,5+1,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1340.0,1926.0,3265.0,دايو ماتيز,موديل سنة 2001,20000.0
سكني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,,إمكانية التقسيط,للبيع فقط,,4+1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1340.0,1000.0,2340.0,هونداي سانتافيه,موديل سنة 2006,57000.0
أبيض عاجي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,2000,,إمكانية التقسيط,للبيع أو التبديل,2,6+1,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1340.0,2240.0,3580.0,فولكسفاجن جولف,موديل سنة 2014,90000.0
سكني,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1995,0012345,إمكانية التقسيط,للبيع فقط,3,6x1,,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1340.0,1523.0,2863.0,تويوتا كورولا,موديل سنة 2018,120000.0
أبيض,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,53,إمكانية التقسيط,للبيع أو التبديل,1,4+1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1340.0,1000.0,2340.0,فولكسفاجن بولو,موديل سنة 2004,32000.0
بني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,160000,نقدا فقط,للبيع فقط,يد ثانية,4+1,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1340.0,1576.0,2915.0,شفروليه اوبترا,موديل سنة 2010,40000.0
سكني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,100000,نقدا فقط,للبيع فقط,اولى,4+1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1340.0,1000.0,2340.0,فولكسفاجن جولف,موديل سنة 1993,40000.0
عدة الوان,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,,نقدا فقط,للبيع أو التبديل,,,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1340.0,1000.0,2340.0,,,
أبيض عاجي,ديزل,عمومي,فلسطينية,عادي,الكتروني,1900,,نقدا فقط,للبيع فقط,,4+1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1035.0,1000.0,2035.0,كيا برايد,موديل سنة 2007,40000.0
فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,150000,نقدا فقط,للبيع فقط,3,4+1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1340.0,1000.0,2340.0,كيا برايد,موديل سنة 2017,68000.0
فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,75000,نقدا فقط,للبيع فقط,يد اولى,4+1,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1035.0,1000.0,2035.0,دراجة نارية 2017,موديل سنة 2017,35000.0
أبيض عاجي,ديزل,عمومي,فلسطينية,عادي,الكتروني,1989,,إمكانية التقسيط,للبيع فقط,,4+1,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1035.0,1000.0,2035.0,كيا k3,موديل سنة 2017,75000.0
أزرق سماوي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1250,,إمكانية التقسيط,للبيع أو التبديل,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1340.0,1000.0,2340.0,هونداي اكسنت,موديل سنة 2016,64000.0
أزرق,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,110000,نقدا فقط,للبيع فقط,3,4+1,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1035.0,1000.0,2035.0,,,
أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,130000,نقدا فقط,للبيع أو التبديل,1,4+1,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1035.0,1000.0,2035.0,سكودا 2008,موديل سنة 2008,55000.0
كرميدي,بنزين,حكومي,فلسطينية,عادي,الكتروني,1400,130000,إمكانية التقسيط,للبيع فقط,اولى,4+1,,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1340.0,1000.0,2340.0,سكودا اوكتافيا,موديل سنة 2015,84000.0
أبيض,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,98000,نقدا فقط,للبيع فقط,4,4+1,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,670.0,500.0,1170.0,فولكسفاجن بولو,موديل سنة 2008,46000.0
أزرق سماوي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,120000,إمكانية التقسيط,للبيع فقط,يد ثانيه,4+1,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1035.0,1000.0,2035.0,بي ام دبليو 520,موديل سنة 2016,160000.0
فيراني,بنزين,حكومي,فلسطينية,عادي,الكتروني,1800,,إمكانية التقسيط,للبيع أو التبديل,4,4+1,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1340.0,1226.0,2565.0,هوندا سيفيك,موديل سنة 2000,2000.0
أسود ميتالك,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1200,90000,نقدا فقط,للبيع أو التبديل,2,4+1,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,845.0,525.0,1370.0,,,
كحلي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,70000,إمكانية التقسيط,للبيع فقط,يد اولى,4+1,دفع أمامي,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1340.0,1033.0,2373.0,سكودا اوكتافيا,موديل سنة 2017,103000.0
أبيض عاجي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,3100,,إمكانية التقسيط,للبيع أو التبديل,2,4+1,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,935.0,1000.0,1935.0,فولكسفاجن ترانسبورتر,موديل سنة 2008,23000.0
أسود,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1900,139000,نقدا فقط,للبيع فقط,ثالثة,4+1,,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,845.0,500.0,1345.0,سيت ليون,موديل سنة 2018,80000.0
بيج,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1000,,نقدا فقط,للبيع فقط,,4+1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,670.0,500.0,1170.0,مازدا 3,موديل سنة 2009,15000.0
أبيض,ديزل,تجاري,فلسطينية,عادي,الكتروني,2800,,إمكانية التقسيط,للبيع فقط,٣,2+1,,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1340.0,1313.0,2653.0,,,
أبيض عاجي,بنزين,حكومي,فلسطينية,اوتوماتيك,الكتروني,1800,,إمكانية التقسيط,للبيع فقط,يد خامسة,,,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,670.0,500.0,1170.0,اودي A4,موديل سنة 2000,22500.0
