لون السيارة,نوع الوقود,أصل السيارة,رخصة السيارة,نوع الجير,الزجاج,قوة الماتور,عداد السيارة,وسيلة الدفع,معروضة,أصحاب سابقون,عدد الركاب,الدفع,air_conditioner,central_closing,alarm_devise,CD_recorder,leather_upholstery,air_cushion,magnesium_rims,sunroof,التكميلي (جسم المركبة),طرف ثالث,المجموع,name_car,model_car,price_car
فضي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,69000,إمكانية التقسيط,للبيع أو التبديل,اولى,4+1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1340.0,1663.0,3003.0,هونداي توسان,موديل سنة 2013,95000.0
فيراني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2500,30000,نقدا فقط,للبيع فقط,0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1690.0,3063.0,4753.0,مرسيدس C250,موديل سنة 2015,175000.0
أسود,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2200,129100,نقدا فقط,للبيع فقط,3,4+1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1690.0,1143.0,2833.0,,,
سكني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1800,5000000,نقدا فقط,للبيع أو التبديل,يد 5,4+1,دفع خلفي,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,670.0,500.0,1170.0,مرسيدس E220,موديل سنة 2005,65300.0
أبيض عاجي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,150000,نقدا فقط,للبيع فقط,يد اولى,4+1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1340.0,1576.0,2915.0,بيجو 306,موديل سنة 1998,13000.0
أبيض عاجي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,,نقدا فقط,للبيع فقط,,4+1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1340.0,1488.0,2828.0,كيا سبورتاج,موديل سنة 2014,90000.0
أبيض,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,75000,إمكانية التقسيط,للبيع فقط,يد 4,4+1,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,670.0,500.0,1170.0,,,
أبيض عاجي,بنزين,تأجير,فلسطينية,عادي,يدوي,1600,,نقدا فقط,للبيع فقط,11,4+1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,670.0,500.0,1170.0,كيا اوبتيما,موديل سنة 2015,85000.0
أسود ميتالك,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,,نقدا فقط,للبيع فقط,,4+1,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1035.0,1000.0,2035.0,,,
رمادي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1200,57,نقدا فقط,للبيع فقط,يد اولى,4+1,,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1035.0,1103.0,2138.0,اوبل استرا,موديل سنة 1997,25000.0
أبيض,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1690,00000,إمكانية التقسيط,للبيع فقط,,4+1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1340.0,1000.0,2340.0,سوبارو نملة,موديل سنة 1984,10000.0
ذهبي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,,نقدا فقط,للبيع فقط,يد اولى,4+1,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1340.0,1000.0,2340.0,,,
فيراني,ديزل,خصوصي,فلسطينية,نصف اوتوماتيك,الكتروني,2000,30000,نقدا فقط,للبيع فقط,يد اولى,4+1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1340.0,1576.0,2915.0,سكودا فابيا,موديل سنة 2009,36500.0
أبيض عاجي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,25000,نقدا فقط,للبيع فقط,2,4+1,,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1340.0,1716.0,3055.0,فولكسفاجن بولو,موديل سنة 2016,63000.0
فضي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,100000,إمكانية التقسيط,للبيع أو التبديل,ثانية,4+1,,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1340.0,1000.0,2340.0,بيجو بارتنر,موديل سنة 2008,47000.0
أبيض عاجي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,180000,نقدا فقط,للبيع أو التبديل,2,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1340.0,1663.0,3003.0,هونداي توسان,موديل سنة 2006,48000.0
أسود,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,,نقدا فقط,للبيع أو التبديل,يد اولى,4+1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1340.0,2013.0,3353.0,هونداي توسان,موديل سنة 2014,90000.0
أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,٧٨٠٠٠,إمكانية التقسيط,للبيع أو التبديل,يد ثالثة,4+1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1035.0,1050.0,2085.0,سكودا اوكتافيا,موديل سنة 2014,98000.0
أخضر,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,,نقدا فقط,للبيع فقط,2,4+1,,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1340.0,1000.0,2340.0,هونداي اكسنت,موديل سنة 2013,50000.0
أبيض عاجي,ديزل,عمومي,فلسطينية,عادي,الكتروني,2500,120000,إمكانية التقسيط,للبيع أو التبديل,يد 2,8+1,دفع أمامي,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1690.0,1000.0,2690.0,هونداي توسان,موديل سنة 2014,95000.0
سكني,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,120000,نقدا فقط,للبيع أو التبديل,يد تانيه,4+1,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1340.0,1000.0,2340.0,سكودا سوبيرب,موديل سنة 2015,115000.0
فيراني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,70 km,نقدا فقط,للبيع فقط,2,4+1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1340.0,1506.0,2845.0,كيا برايد,موديل سنة 2015,60000.0
أحمر,بنزين,خصوصي,فلسطينية,عادي,يدوي,1600,,إمكانية التقسيط,للبيع فقط,,4+1,,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,670.0,500.0,1170.0,شفروليه اوبترا,موديل سنة 2008,27000.0
أحمر,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1200,7000,إمكانية التقسيط,للبيع فقط,1,4+1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1035.0,1190.0,2225.0,فولكسفاجن كرافيل,موديل سنة 2003,24000.0
فيراني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,,نقدا فقط,للبيع فقط,,,,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1035.0,1000.0,2035.0,بيجو 2008,موديل سنة 2008,35000.0
